English,Chinese
I describe a phenomenon to you without giving out the brand name.,我不提这个品牌，我给大家讲一个形态。
We used to find out many teenage boys and girls gathering around a machine at metro station to get a kind of coupons for offline shopping.,就是大家经常会看到很多少男少女们在某个地铁站围着一个机器拼命地去打一种优惠券儿，然后去进线下消费。
But this could only be seen about two years ago. ,但是可能这个停留在两年前的概念。
Now let's think about it very carefully. ,但是在今天大家再仔细回忆一下。
Can you see any teenagers gathering around a machine at a metro station now?,如果各位再从地铁站周围观顾的时候，不知道您是否还看得到少男少女围着机器，对吧。
Let's go back to O2O. ,然后这个O2O里面来讲的话呢。
Piles of O2O companies keep springing up.,就说还有一波新的一波在做O2O的这种这个公司。
"There is still no one out of these companies succeeding in figuring out the closed-loop consumption pattern of O2O, that consumers could adapt to in an easier manner.",那这些公司来讲的话，目前没有一家公司成功地摸索出来这个O2O到底是怎么样的一个闭环，怎么样的这个让消费者使用起来更轻松。
"From this perspective, O2O industry is destined to die.",所以说呢，这个O2O产业来讲的话，目前还是一个必死的产业。
But we cannot simply give it up for its doomed destiny.,但是说不能说因为必死，这件事就不要干了。
Here is a very simple example.,举个很简单的例子。
I watched all videos about Jack Ma. ,我看过马云所有的这个视频。
He proposed ten years ago to put clothes and shoes from offline sales to online sales.,马云在十年前说，啊我们要做把线下的服装跟鞋子放到网上去卖。
"Many people at that time didn’t buy it, questioning that people had to try the clothes and shoes on to see if they fit or match with the pants. ",当时有很多人就说这个根本不可能，我到线下去试一试衣服合不合身，鞋子总要试一试，然后甚至跟我的裤子要不要搭。
So Jack Ma's idea encountered many obstacles.,所以说当时也遇到了很大的障碍。
"Now, ten years later, when you take a look at the B2C industry, you can barely find anyone who doesn't buy clothes, shoes, and even home appliances online.",十年后的今天我们再看这个B2C，你会发现有多少人不在互联网上去买衣服呢，有多少人不在互联网上去消费这些鞋子，甚至是电器。
So the Internet does bring impact and transformation to the offline consumption pattern.,所以说这个互联网的确是震慑住了这个整个的线下的消费模式，也也扭转了线那个线下消费模式。
"Next I'd like to answer a question that if O2O is destined to die, is it too early to propel it now? ",然后呢再跟各位讲，就是为什么啧你既然说这个O2O是必死的，是不是做得太早啦？
What if the industry just perishes abruptly?,是不是这个会死在前面儿？
Where did this argument come from? ,这话是怎么说的呢？
"Here is the thing, do you know what is the first batch of listed internet enterprises?",是这样的，就是嗯第一波互联网上市的企业，大家知道是什么类型的产品吗？
"Yes, the first batch is portal website, such as Yahoo.",对，第一波上市的是这个雅虎，门户类型的。
"By the end of 1990s or the early 2000s, we began to find out that many portal websites were listed.",当那个年代九九十年代末的时候，我们噼里啪啦听到一大堆或者两千年后的时候听到一大堆门户网站开始上市了。
Then what is the second batch of listed internet companies? ,然后紧接着第二波上市的浪潮呢是谁呢？
They are game developers represented by Shanda Group.,是做游戏的一帮，以盛大为为代表啊，盛大这个这一系列的游戏公司。
Later on we find out many function-based internet enterprises come into the market.,然后后来来讲的话我们又听到一些工具类的这个互联网企业陆陆续续上市。
What we've heard most these couple of years is that the transactional B2C companies are listed.,然后在这两年我们听到最多的是这种交易类型的B2C在上市，对吧。
"We notice that we post-80s generation needs at least ten years to develop a new industry and accumulate the knowledge, as a saying goes that it takes ten years to forge a good sword.",然后我们就发现留给我们八零后，因为我们成长一个行行业，知识一个沉淀嘛，必须要需要10年的时间，10年磨一剑嘛。
"So when we find ourselves know a little about the internet, we must choose a business inside the sector and carry on doing it, that business seems to be O2O.",所以说在我们发现哎呀我今天能对互联网有一些认知的，有一些明白了，有一些理解了，我现在要选选择一个事业执着地干下去，那貌似只有O2O了。 
"Next I'd like to talk about the internet industry environment, that's the reason why I hold on to O2O.",然后再讲讲这个互联网的产业环境啊，就是为什么我还是非得抓着O2O不放。
"In the internet industry, your entrepreneurial plans will always be overshadowed by those from the three internet giants, Baidu, Alibaba and Tencent. ",就是产业环境是这样，无论我现在去做一个什么你都会，在互联网业界的人都知道互联网有三座大山，对吧，这个百度，这个阿里，还有腾讯，
"Although Baidu CEO Robin Li Yanhong said at this year's IT Summit that the three giants are not rocks lying ahead of young entrepreneurs, in my opinion, they hinder many of start-ups.",尽管这个新一届的IT峰会里面这个李彦宏Robin说三座大山不是年轻人的创业障碍，但是我始终感觉在我们创业的这个人来看还是一种障碍。
Here is a simple example.,在这里面我举一个简单的例子啊。
"Baidu is a prominent money spinner, and it's capable of acquiring many enterprises in different sectors in one night.",就是百度呢是以这个吸金能力比较强的这个一个企业，然后在一夜之间大家会发现它收购了很多企业。
Then I would say I can start up my business in another sector. ,然后你说哎呀那这一片儿我就不做了嘛，那我就去做另外一片儿。
What else can you do?,你说那还做什么呢？
Let's try online transaction.,做交易吧。
However you'll find it's very difficult to beat Alibaba no matter how hard you try in online transaction.,你会发现交易怎么做你都很难去跨越这个阿里集团，对吧。
All your payments have to go through Alipay. ,无论如何你的支付的解决行为还得在支付宝啊。
You are surrounded by Alibaba's products. ,总是离不开阿里的产品。
Plus Alibaba is a strong acquirer too.,而且阿里的收购能力也很强。
Here comes Tencent.,然后我们再说腾讯。
"I bet that whatever you make, you will lose your market the next day after Tencent embarks on developing the same stuff against yours.",这个腾讯我在这里面可能说无论你做出什么样的产品，只要让它看上眼了，对吧，第二天你就可以失业了。
"In conclusion, start up your own business is extremely tough.",所以说从这一点来讲的话，你会发现哎呀创业真的好难。
However these three internet giants will turn a deaf ear to O2O before people figure it out.,但是O2O在谁都没有搞明白的时候，这三座大山是看不上眼的。
So they all choose to stay put instead of making a tiny step forward.,所以说几家纷纷在蠢蠢欲动，但是而没有动。
"So I think a new opportunity is forthcoming, and O2O is the most workable option among all.",所以说我就认为啊机会又来了，以这三个机会来看来讲的话啊，呃貌似我只有O2O可以干。
"But the process of doing O2O is very, very torturing.",但是做O2O这件事儿呢，是一件特别特别痛苦的一件事。
"First of all, we must meet a large amount of clients everyday. ",第一来讲的话我们每天要面临着大量的商户。
"For instance, the sector of daily life services includes eateries, hairdressing, beauty and spa, educational training, mother-and-baby care as well as wedding planning.",比如说举个例子，这个餐饮店，丽容美发spa店，然后教育培训这类型的店，然后还有做母婴、结婚这一类的全部都是属于生活服务领域范畴。
But why do I say it's difficult?,但是为什么难呢？
"In B2C industry, I can produce a computer following strict standards.",比如说做B2C，我做一款产品做电脑，它的标准化很强，对吧。
"The production of a computer involves nothing else but the CPU, the hard drive capacity and the screen size.",我做一台这个这个电脑它无非就是CPU，然后无非就是硬盘有多大，无非屏幕有多大。
"But in O2O industry, when you are opening a restaurant, take hot pot as an example, you will find categories like Chongqing hot pot, Beijing hot pot and Taiwan mini hot pot, won't you?",但是你会发现做O2O这个行业啊，如果你要做餐饮店的时候，咱们就单拿一个火锅来举例，它就有重庆火锅、北京火锅、台湾小火锅，对吧？
"For Chongqing hot pot, the restaurant owner could be a Sichuan native, a Sichuan non-local, and even those who are from investment circle.",单拿重庆火锅来举例它的老板有四川人，有伪四川人，对吧，甚至还有投资界的朋友在做这方面的东西。
And then you can tell the varying levels of restaurant owners just from the service attitude and quality of restaurant waiters.,然后你会发现从业者参差不齐，对吧，从服务员的态度素质就知道。
"Every one knows about the stories of Haidilao hot pot, right?",大家都知道这个海底捞儿的故事，对吧。
And you might also know how other hot pot restaurant owners run their businesses. ,然后大家可能也会知道不是海底捞儿那些企业是怎么经营的。
So the standardization level of Sichuan hot pot is far from satisfaction.,所以说单看一个四川火锅标准性，标准化很差。
"In that respect, it's quite difficult to do O2O as we may come across various clients.",所以说从这个角度来讲的话，那就我们认为这件事来讲的话干起来太痛苦了，每家店都是千奇百怪啊。
I myself have led two O2O teams from Beijing to Shanghai.,然后呢就是这个我呢现在是带过两个团队，从北京一直带到上海，一直在做O2O。
Why do I put forward the concept of daredevil?,然后我为什么要提出这个亡命之徒的概念呢？
Many young people nowadays have many job options; venture capital and headhunting industries are picking up momentum. ,现在很多年轻人啊有太多的选择，然后这个现在风投能力也比较强，一夜之间挖人能力也比较强。
Young people get used to job-hopping driven by benefits.,所以说很多年轻人呢在利益的驱动下，该跳槽的跳槽，该转业的转业。
"I often talk to my teams, saying if you've stuck to the jobs in one industry for ten years, you will become a top expert in it.",我经常跟我的团队经常沟通这样一件事情，我说一个行业如果你坚持做一做十年，那你就是这个行业的专家，啊。
"In this regard, I'd like to encourage all young people, if you are working in O2O industry, stick with it just like a daredevil.",所以说在个这里面我就想提倡所有的年轻人，就是说在在做一件事情，在做O2O这条路上面来讲的话，有一种亡命之徒的态度，把这件事儿做下去。
I firmly believe O2O will create a chance for young people and will bring about bigger market impact. ,我坚信这一件事情来讲的话，一定会给年轻人一个机会，而且一定会给这个市场一个更大的冲击力。
Thank you.,谢谢。
