English,Chinese
I describe a phenomenon to you without giving out the brand name.,我不提这个品牌，我给大家讲一个形态。
We used to find out many teenage boys and girls gathering around a machine at metro station to get a kind of coupons for offline shopping.,就是大家经常会看到很多少男少女们在某个地铁站围着一个机器拼命地去打一种优惠券儿，然后去进线下消费。
But this could only be seen about two years ago. ,但是可能这个停留在两年前的概念。
Now let's think about it very carefully. ,但是在今天大家再仔细回忆一下。
Can you see any teenagers gathering around a machine at a metro station now?,如果各位再从地铁站周围观顾的时候，不知道您是否还看得到少男少女围着机器，对吧。
Let's go back to O2O. ,然后这个O2O里面来讲的话呢。
Piles of O2O companies keep springing up.,就说还有一波新的一波在做O2O的这种这个公司。
"There is still no one out of these companies succeeding in figuring out the closed-loop consumption pattern of O2O, that consumers could adapt to in an easier manner.",那这些公司来讲的话，目前没有一家公司成功地摸索出来这个O2O到底是怎么样的一个闭环，怎么样的这个让消费者使用起来更轻松。
"From this perspective, O2O industry is destined to die.",所以说呢，这个O2O产业来讲的话，目前还是一个必死的产业。
But we cannot simply give it up for its doomed destiny.,但是说不能说因为必死，这件事就不要干了。
Here is a very simple example.,举个很简单的例子。
I watched all videos about Jack Ma. ,我看过马云所有的这个视频。
He proposed ten years ago to put clothes and shoes from offline sales to online sales.,马云在十年前说，啊我们要做把线下的服装跟鞋子放到网上去卖。
"Many people at that time didn’t buy it, questioning that people had to try the clothes and shoes on to see if they fit or match with the pants. ",当时有很多人就说这个根本不可能，我到线下去试一试衣服合不合身，鞋子总要试一试，然后甚至跟我的裤子要不要搭。
So Jack Ma's idea encountered many obstacles.,所以说当时也遇到了很大的障碍。
"Now, ten years later, when you take a look at the B2C industry, you can barely find anyone who doesn't buy clothes, shoes, and even home appliances online.",十年后的今天我们再看这个B2C，你会发现有多少人不在互联网上去买衣服呢，有多少人不在互联网上去消费这些鞋子，甚至是电器。
So the Internet does bring impact and transformation to the offline consumption pattern.,所以说这个互联网的确是震慑住了这个整个的线下的消费模式，也也扭转了线那个线下消费模式。
"Next I'd like to answer a question that if O2O is destined to die, is it too early to propel it now? ",然后呢再跟各位讲，就是为什么啧你既然说这个O2O是必死的，是不是做得太早啦？
What if the industry just perishes abruptly?,是不是这个会死在前面儿？
Where did this argument come from? ,这话是怎么说的呢？
"Here is the thing, do you know what is the first batch of listed internet enterprises?",是这样的，就是嗯第一波互联网上市的企业，大家知道是什么类型的产品吗？
"Yes, the first batch is portal website, such as Yahoo.",对，第一波上市的是这个雅虎，门户类型的。
"By the end of 1990s or the early 2000s, we began to find out that many portal websites were listed.",当那个年代九九十年代末的时候，我们噼里啪啦听到一大堆或者两千年后的时候听到一大堆门户网站开始上市了。
Then what is the second batch of listed internet companies? ,然后紧接着第二波上市的浪潮呢是谁呢？
They are game developers represented by Shanda Group.,是做游戏的一帮，以盛大为为代表啊，盛大这个这一系列的游戏公司。
Later on we find out many function-based internet enterprises come into the market.,然后后来来讲的话我们又听到一些工具类的这个互联网企业陆陆续续上市。
What we've heard most these couple of years is that the transactional B2C companies are listed.,然后在这两年我们听到最多的是这种交易类型的B2C在上市，对吧。
"We notice that we post-80s generation needs at least ten years to develop a new industry and accumulate the knowledge, as a saying goes that it takes ten years to forge a good sword.",然后我们就发现留给我们八零后，因为我们成长一个行行业，知识一个沉淀嘛，必须要需要10年的时间，10年磨一剑嘛。
"So when we find ourselves know a little about the internet, we must choose a business inside the sector and carry on doing it, that business seems to be O2O.",所以说在我们发现哎呀我今天能对互联网有一些认知的，有一些明白了，有一些理解了，我现在要选选择一个事业执着地干下去，那貌似只有O2O了。 
"Next I'd like to talk about the internet industry environment, that's the reason why I hold on to O2O.",然后再讲讲这个互联网的产业环境啊，就是为什么我还是非得抓着O2O不放。
"In the internet industry, your entrepreneurial plans will always be overshadowed by those from the three internet giants, Baidu, Alibaba and Tencent. ",就是产业环境是这样，无论我现在去做一个什么你都会，在互联网业界的人都知道互联网有三座大山，对吧，这个百度，这个阿里，还有腾讯，
"Although Baidu CEO Robin Li Yanhong said at this year's IT Summit that the three giants are not rocks lying ahead of young entrepreneurs, in my opinion, they hinder many of start-ups.",尽管这个新一届的IT峰会里面这个李彦宏Robin说三座大山不是年轻人的创业障碍，但是我始终感觉在我们创业的这个人来看还是一种障碍。
Here is a simple example.,在这里面我举一个简单的例子啊。
"Baidu is a prominent money spinner, and it's capable of acquiring many enterprises in different sectors in one night.",就是百度呢是以这个吸金能力比较强的这个一个企业，然后在一夜之间大家会发现它收购了很多企业。
Then I would say I can start up my business in another sector. ,然后你说哎呀那这一片儿我就不做了嘛，那我就去做另外一片儿。
What else can you do?,你说那还做什么呢？
Let's try online transaction.,做交易吧。
However you'll find it's very difficult to beat Alibaba no matter how hard you try in online transaction.,你会发现交易怎么做你都很难去跨越这个阿里集团，对吧。
All your payments have to go through Alipay. ,无论如何你的支付的解决行为还得在支付宝啊。
You are surrounded by Alibaba's products. ,总是离不开阿里的产品。
Plus Alibaba is a strong acquirer too.,而且阿里的收购能力也很强。
Here comes Tencent.,然后我们再说腾讯。
"I bet that whatever you make, you will lose your market the next day after Tencent embarks on developing the same stuff against yours.",这个腾讯我在这里面可能说无论你做出什么样的产品，只要让它看上眼了，对吧，第二天你就可以失业了。
"In conclusion, start up your own business is extremely tough.",所以说从这一点来讲的话，你会发现哎呀创业真的好难。
However these three internet giants will turn a deaf ear to O2O before people figure it out.,但是O2O在谁都没有搞明白的时候，这三座大山是看不上眼的。
So they all choose to stay put instead of making a tiny step forward.,所以说几家纷纷在蠢蠢欲动，但是而没有动。
"So I think a new opportunity is forthcoming, and O2O is the most workable option among all.",所以说我就认为啊机会又来了，以这三个机会来看来讲的话啊，呃貌似我只有O2O可以干。
"But the process of doing O2O is very, very torturing.",但是做O2O这件事儿呢，是一件特别特别痛苦的一件事。
"First of all, we must meet a large amount of clients everyday. ",第一来讲的话我们每天要面临着大量的商户。
"For instance, the sector of daily life services includes eateries, hairdressing, beauty and spa, educational training, mother-and-baby care as well as wedding planning.",比如说举个例子，这个餐饮店，丽容美发spa店，然后教育培训这类型的店，然后还有做母婴、结婚这一类的全部都是属于生活服务领域范畴。
But why do I say it's difficult?,但是为什么难呢？
"In B2C industry, I can produce a computer following strict standards.",比如说做B2C，我做一款产品做电脑，它的标准化很强，对吧。
"The production of a computer involves nothing else but the CPU, the hard drive capacity and the screen size.",我做一台这个这个电脑它无非就是CPU，然后无非就是硬盘有多大，无非屏幕有多大。
"But in O2O industry, when you are opening a restaurant, take hot pot as an example, you will find categories like Chongqing hot pot, Beijing hot pot and Taiwan mini hot pot, won't you?",但是你会发现做O2O这个行业啊，如果你要做餐饮店的时候，咱们就单拿一个火锅来举例，它就有重庆火锅、北京火锅、台湾小火锅，对吧？
"For Chongqing hot pot, the restaurant owner could be a Sichuan native, a Sichuan non-local, and even those who are from investment circle.",单拿重庆火锅来举例它的老板有四川人，有伪四川人，对吧，甚至还有投资界的朋友在做这方面的东西。
And then you can tell the varying levels of restaurant owners just from the service attitude and quality of restaurant waiters.,然后你会发现从业者参差不齐，对吧，从服务员的态度素质就知道。
"Every one knows about the stories of Haidilao hot pot, right?",大家都知道这个海底捞儿的故事，对吧。
And you might also know how other hot pot restaurant owners run their businesses. ,然后大家可能也会知道不是海底捞儿那些企业是怎么经营的。
So the standardization level of Sichuan hot pot is far from satisfaction.,所以说单看一个四川火锅标准性，标准化很差。
"In that respect, it's quite difficult to do O2O as we may come across various clients.",所以说从这个角度来讲的话，那就我们认为这件事来讲的话干起来太痛苦了，每家店都是千奇百怪啊。
I myself have led two O2O teams from Beijing to Shanghai.,然后呢就是这个我呢现在是带过两个团队，从北京一直带到上海，一直在做O2O。
Why do I put forward the concept of daredevil?,然后我为什么要提出这个亡命之徒的概念呢？
Many young people nowadays have many job options; venture capital and headhunting industries are picking up momentum. ,现在很多年轻人啊有太多的选择，然后这个现在风投能力也比较强，一夜之间挖人能力也比较强。
Young people get used to job-hopping driven by benefits.,所以说很多年轻人呢在利益的驱动下，该跳槽的跳槽，该转业的转业。
"I often talk to my teams, saying if you've stuck to the jobs in one industry for ten years, you will become a top expert in it.",我经常跟我的团队经常沟通这样一件事情，我说一个行业如果你坚持做一做十年，那你就是这个行业的专家，啊。
"In this regard, I'd like to encourage all young people, if you are working in O2O industry, stick with it just like a daredevil.",所以说在个这里面我就想提倡所有的年轻人，就是说在在做一件事情，在做O2O这条路上面来讲的话，有一种亡命之徒的态度，把这件事儿做下去。
I firmly believe O2O will create a chance for young people and will bring about bigger market impact. ,我坚信这一件事情来讲的话，一定会给年轻人一个机会，而且一定会给这个市场一个更大的冲击力。
Thank you.,谢谢。
"Recently, I was busy with a play called Tuesdays with Morrie.",我最近刚忙着演一出戏，那个戏的名字叫作《最后十四堂星期二的课》。
I went on tour from Taiwan to Shanghai with the play for almost one year.,然后从台湾演，一路演到上海，前后已经演了快一年。
Now I want to share with you my feelings about something interesting occured during the tour.,在这个演出当中有一些有意思的感受我想在这里提出来跟大家分享一下。
This is a theatrical adaption of a true story named Tuesdays with Morrie.,这是一个改编自真人真事的一个小说，小说的名字叫作《相约星期二》。
The book was published in different countries around the world.,这个小说在世界上很多国家都有发行出版。
I bet many of you have heard of it or even read it.,相信搞不好在座有很多人也知道，或者搞不好也看过。
"The book was based on the story of an old professor who suffered from Amyotrophic Lateral Sclerosis, an incurable disease and had only a few times left to live.",这个故事是叙述一位老教授，他得了一个罕见疾病，叫作渐冻症，那是一个不治的绝症，他在世的日子不多了。
One of his students visited him every Tuesday for 14 times.,但他有个学生，哎，一个心爱的学生来探望他，每个星期二来探望他，然后前前后后来了十四次。
"On the 14th visit which turned out to be the last, the professor passed away in his last lesson.",第十四次当然也就是最后一次，在那一堂课当中，那位老教授他呀，咽气，与世长辞。
"Throughout the play, it was very quiet on the stage for there were only two actors, starring as the professor and his student.",然后这个故事在演出当中，台上非常地安静，因为从头到尾台上只有两个人没有第三个人，就是那个老师和那个学生。
"The plot is not complicated nor dramatic, just some talks about different topics, including death.",然后，这故事也没有什么复杂的剧情没什么很戏剧性花里花哨的一些事儿，就是这个师生二人聊天儿，然后聊了许多话题，其中也包括啊死亡。
"Since the play goes on with few dramatic conflicts, the reaction of the audience seemed interesting.",观众在这个时候有个很有意思的感觉，因为整个戏进行得非常安静。
"The audience seemed to become some invisible onlookers, standing by the sickbed of the dying professor, listening to his 14 lessons and watched his journey to death.",观众们好像在无声中他化身为一个隐形的旁观者，一个旁观者站在这个临终病床旁边，目送这位老教授从第一堂课到第十四堂课，目送这位老教授他一步一步一步走向死亡。
"During the play, we could hear some sobbings in the audience from time to time.",我们在演出当中，不时地会听到台下有时候传过来窸窸索索的一些哭泣的声音。
"When I was acting, I would glance at the audience sometimes.",然后我我在演出当中我站在台上有时候我的余光会瞥见观众席。
"I often found people rubbing their eyes with handkerchiefs or tissue papers, as there were many heart-breaking moments in the play.",有些人拿着手帕或者卫生纸在那边擦眼睛，你要知道这故事有很多让人心碎的部分。
But do you know what interested me most?,可是最最最有趣的事情是啥？
What interested me most was that I heard laughter every now and then from the audience in such a sad story.,最有趣的事情是，注意这么一个悲伤的故事，从头到尾给我在观众席当中不时听到传来笑声，笑声。
I am really curious about the laughter.,对，我对这个笑声非常有兴趣。
"Maybe it was because the story was actually somewhat interesting, for the old professor had a good sense of humor, he talked in refined way and held special standpoints about life.",诶，这个故事嘶虽可能可能有点有趣吧，嗯那个老教授因为非常幽默，他谈吐脱俗，他对生命很多观点非常的另类非常的独特。
So it was expected to hear some laughter during the play after we went through rehearsal.,额我们在排戏的时候就可以预期地到演出的时候会有一些什么地方观众会乐，会笑。
"However, considering that the scene was after all about the ward of a terminal patient lying on the bed.",可是无论如何毕竟这个舞台好像一个临终病房。
All the audience witnessed the old man being tortured by the illness and struggling for the last breath.,老人家躺在病床上，然后我们所有围观者，所有围观者就等于是观众，他们好像是送行者，我们目看着老先生饱受疾病的折磨，看着他一步一步要快要咽气。
Wasn't it weird yet intereseting to laugh at such a scene?,这个时候，笑是不是有一点啊有一点啧奇怪，有一点有点什么意思？
"In China's conservative tradition, if you laugh out before a dying elder surrounded by other visitors, you will get criticized and feel guilty about yourself.",在咱们这种中国人保守的这这个传统里头，如果长者躺床上要过去了，我们旁边围站一圈，嗯这个时候如果你笑，你会被别人责怪，你也会自己责怪自己。
"People would say, ""Are you insane? Are you crazy? Why are you so impolite? How disrespectful you are! How can you show no respect to elders?""",责怪你这个人是不是脑袋有问题啊？你不是神经病啊？你怎么这么不懂事啊？怎么不这么不孝顺呢？怎么这么不尊重老人者啊？
But the audience couldn't stop their sincere laugh in the play.,但是，观众藏不住的笑，由衷的笑。
I liked their laugh because I sensed an interesting mentality behind it.,我也很喜欢他们的笑，我觉得那个笑的背后有一种很有意思的心理状态是我非常喜欢玩味的东西。
What was that exactly?,那是什么东西？
An audience commented after the play that he had not expected to laugh now and then throughout a death-themed play while crying.,有一个，有一个观众看完那个戏之后在留言书上是这么写的，他说看这么一出以死亡为主题的戏，万万没有想到我在一边掉眼泪的同时，我一边听到我发出笑声，而且从到从头到尾时不时地会发出笑声。
It was a wonderful experience for him.,这是一个很奇妙的经验。
"When he left the theater, he felt a strength that encouraged him to face his life and live.",我只知道我走出剧院的时候，身上好像有一股力力量，使我要去面对人世，好好活下去的力量。
That was his understanding.,那是他说的，那我的解读呢。
How do I interpret the laugh of the whole audience then?,我对那个观众的笑声的解读是什么？
"For me, it's a kind of relief.",我觉得啊，我觉得那是一种解放。
The relief from what?,解放什么呢？
"From their fear of death, the fear people get in front of the death.",解放人面对死亡时候的一种恐惧，人面对死亡的时候一种害怕。
Actually it's more than just relief and there is something more significant in it.,不不不，还不止于此还不止于是解放，它还有别的更还有更深一层的意思，什么意思。
That is courage.,那是一种勇气。
Why?,什么勇气呢？
Because you are not afraid to be there with a close relative or friend in their last moments when their body starts to turn cold.,面对一个亲朋好友在你面前，他的身体一点地一点一点地变冷、一点一点地变硬，你并不害怕。
"You are willing to cope with their deaths in a natural, sincere and considerate manner and show your passion for life.",而且你很乐意地展现你的自然、你的诚恳、你的贴心、你对生命的热情。
This is my interpretation of the laugh.,这个就是我对那个观众笑声我的诠释。
"By the way, let me share with you a personal story in my life.",我话说到这儿，我跳到另外一个一个话来说，这是我自己亲身经历的一个事儿。
A good friend of mine in Taipei was engaged in music business and had cooperated with me for several times in play all these years.,我在台北有一个朋友一个好朋友他跟我他是搞音乐的，我们多年来在搞戏剧工作的时候有合有合作过，是一个老朋友。
He was someone wild and with a strong personality.,他的个性非常地嚣张非常地狂放。
"Whenever he spoke, he would come out with the most extraordinary remarks with a sense of humor and in a loud voice, he always impressed people with his remarks.",他平常说话的时候，不说不狂放的话他不说，不是笑话的话他不说，而且每说话一定高亢而且大声而且语惊四座。
"He was someone like that, we worked together a year ago for a play, after which I didn't hear from him.",哎呦，这么一个号人，啧一年前，我们刚合作完一出戏，戏演完之后我们就各回各家没联系。
"One day, I received a sudden call from his family.",有一天我在家里突然接到一通电话，他家里他家里人打来的。
I was told that he had developed terminal lung cancer and he had few days left.,说他得了肝癌，而且是末期，而且没几天了。
"Shocked at the news, I hurried to call other friends to visit him in hospital together.",哎呀，我就急忙打电话通知几个好朋友，我们就匆匆忙忙飞快地冲到医院去探望他。
"The moment we stood before his sickbed, we were all petrified.",站在病床前面，我们几个都愣住了，有点傻的了，因为眼前那个画面非常啧。
He was virtually a bag of bones with sunken cheeks and eye orbits.,他瘦得像个鬼，然后全身上下我找不到一个有肉的地方，脸颊是凹进去的，眼眶是凹进去的，眼皮子是搭着的。
"He had dull eyes and long, messy beards and hair.",两眼无神，然后那一头的那个胡子头发又乱又长。
"We surrounded him for quite a while, speechless.",我们真的有点不知道该说什么，我们站那边，几个朋友绕着他这样站着。
"Standing there we were somewhat nervous and scared, no one said a word.",然后好久没半天没没吭一个声，我们可能心里有点慌张有点害怕。
"We racked our brain for the appropriate comforting words but held back the tongue, we recalled the doctors' words that there were few days left but what words could be appropriate in circumstances like this.",而且我们心里又想，医生告诉我们了，真的没有几天了，没有几天那我现在要说什么呢，每一句我想说的话到了嘴边咯吱又咽回去了。
What could we say then?,因为这个时候说什么呀？
It felt like whatever we said would seem inappropriate.,这不是怎么说都话好像都不是不是不是很对、不恰当。
"But we also couldn't stand there like that all the time, so we broke the silence and talk frivolously like ""Does it hurt?"", ""Today is really windy"", ""We got here by public transport. It was so crowded and uncomfortable, blah blah blah.""",呃可是我们不能这一群人一直傻站在那里啊我们，好，后来我们说话了，我们说了一些言不及义的话，比方说，会不会痛啊，哦今天风好大啊，嗯，我们刚刚是坐那个什么什么车来的，哎呀那个那个车哎呀交通好挤啊，那个就哎呀那个这车怎么这么难坐呢。
"Each of us said something, with a long pause each time.",我们说了一些话，每个话跟每个话中间都停顿很久。
We humbled for the words.,因为找不到能说的什么话。
"Lying in bed, he said nothing during the whole time and he just shook his head feebly and repeatedly, which was the only thing he could do.",然后他呢，从头到尾他没有回答一个字，他靠在床上，然后有气没力地摇摇头，摇摇头，从头到尾他所做的事情也只是不停地摇摇头。
"In the end, I blurted out something even more ridiculous out of the blue, ""Hey, buddy, you can star as Jesus now.""",最后我啧，呃突如其来地说了一句更加言不及义的话，我脱口而出说：“兄弟啊，你现在这个造造型啊非常适合演耶稣。”
That made him laugh.,他笑了，他真的笑了。
"We were laughing too, in an exaggerated way, because it was not funny at all.",哇他笑了，然后我们几个也笑了，而且我们笑的有一点点夸张，因为这个笑话并不好笑。
I had no idea why we laughed for a long time unnaturally.,我不知道为什么要笑那么长，我们还在笑我们还在笑，我们我们为什么会笑那么长，这么不好笑的笑话。
We just laughed.,我们笑很长。
"After that there were no more boring remarks, for the visiting time was short and he was too sick.",然后后来再后来大家也没有多说什么无聊话了，因为我们会客时间必须非常短，因为他没有任何力气来。
Therefore we hurried off.,我们就匆匆告辞了。
"On my way home, I was proud of that unfunny joke and pleased to see all my friends laugh.",回家的路上我心里非常得意，我说了那个非常不好笑的笑话，我也更高兴我们都笑了。
That feeling lingered on. When I bowed and bid farewell to my friend in the mortuary house and on his funeral a couple of days after the visit and when I recalled him later at any time。,那个得意之情一直延伸到后来没有多少天之后我们在殡仪馆在告别式上跟我这个朋友鞠躬行礼，一直延伸到更后来后来后来当我每想起我这位朋友的时候我心里都有一个话语在心中浮现。
"I think to myself, ""Bro, we almost got scared by death. Fortunately, we didn't. It was because we could, we were able to and we dared to laugh before the death. We testified with laugh that we were still who we were and would not be defeated by death.""",我说：“兄弟啊，我们差一点就被死亡给吓到了，还好没有，因为我们笑了，我们我们能笑，我们可以笑，而且我们敢笑，因为我们笑了我们用笑声来证明，哥们儿，我们还是我们，死神你给我站到一边去。”
Why I can't forget the laugh?,我为什么这么记挂这个笑？
What I think over all the time is the laugh in the hospital and the laugh of the audience in the theater.,在我心里翻来翻去，绕着绕老去的，关于这个笑，关于剧院里面那些观众们的笑。
The answer is simple.,我跟你讲我的答案很简单。
"Say, you are going off somewhere far away, and I come to see you off.",试问，今天你如果你要远行我来送你。
"What do you expect to get, whether you are in a train station, an airport or even an intensive care unit?",不管是在火车站不管是在飞机场，甚至于在加护病房，你希望我怎么送你？
Do you want me to shed tears or cry my heart out?,你希望我哭，哭，掉眼泪，掉眼泪，哭，掉眼泪？
Is that all?,然后没有别的吗？
I don't think so.,不会，不会吧。
"Suppose we are close, you don't want to see me just crying, do you?",假如我们关系这么好，你不会希望我只只是什么这这么表达，应该还有些别的吧？
"Such as some encouragements, good wishes, chitchat, funny stories, jokes or even a song.",比方说，说点祝福的话，说点鼓励的话，家常的话，好笑的事儿，甚至于唱一首歌，耍个宝，幽自己一默，等等等等等等。
There are different possible ways than just crying.,有许多许多可能，但是不可以止于在那里哭。
"However, crying is probably the only thing we could do due to our conservative tradition and the society.",而咱们这个社会我们这个传统，很多很多的人大概只能做那个事儿。
"If you come to see me off when I leave, I will assure you that the last thing I want to see is you crying.",我跟你讲如果是我我要走你来送我，我告诉你我可不希望我看到的画面就那个。
Because I will be worried about you and can't go far away.,因为如果是那样的话，答案很简单，我不能远行到任何地方我都走不远，因为我不会心安。
My speech is coming to the end.,我说到这儿我的话就快要准备结束了。
"Before that, I want to quote again from the play Tuesdays with Morrie.",在结束之前我预备再引用一句我在《最后十四堂星期二的课》这个戏当中的一句台词。
Actually it's my first line in the play.,这是我这个角色在剧中出场的第一句台词。
"Right after the graduation ceremony at one university, a student of mine, who was very shy and poor at expressing himself, looked around to check his surroundings and found it was clear, so he lowered his head and prepared to sneak away.",时间是在一个大学的毕业典礼，典礼刚结束，我的一个学生，他个性非常腼腆内向不擅长表达，在典礼结束之后他左看右看没什么人低头正预备偷偷溜走闪人。
But I caught him right on the scene.,被我叫住。
"""Hey, where are you going, kid? Do you really think you can get out stealthily of the place where you stayed for four years without saying anything?"" I asked.",我说：“喂喂喂喂喂喂，你要到哪里去啊？你真的以为再见都不说一声就可以这么偷偷摸摸地告别你读了四年的大学啊？”
"He faltered, ""Oh, professor, actually, I don't know how to say goodbye.""",那个学生啊嗯支支吾吾然后努力地回答我说：“老师啊，啊，其实我不知道怎么说再见。”
"Well, that's a dreadful question since human beings came to the world.",啊！这是一个大灾问，这是人类亘古以来的问题。
It makes us cringe to say goodbye.,我们不会说再见。
But there are many occasions we need to wave goodbye and the most serious one is death.,再见有很多种，最大的一种叫死亡。
"On hearing the student's answer, I did nothing but held him tightly in my arms, saying ""This is goodbye"".",我听完学生这么一说他不会说再见，我二话没有说双手一张，紧紧地把他给抱住，然后同时回答他说：“这个就叫再见。”
It can be a hug.,一个拥抱。
Just a hug.,就是一个拥抱。
It actually means love.,这拥抱什么意思，其实就是爱。
"Sometimes, we can express our love through a simple action.",爱有的时候它只是一个很简单的动作就足以表达。
"For example, when we are in front of a dying relative, or even before a cold corpse, a simple action like a hug, a touch, cheek to cheek, a kiss, or a smile can show our love.",比方说你现在面对一个将要远离你而去的亲人，甚至于他的身体已经冰冷了，一个拥抱，一个抚摸， 一个脸贴脸，一个亲吻，或者一个笑，这么一个简单的动作足足以表达我们最起码起码的爱。
"However, if we dare not to do that and we just cry, grieve, feel at loss and finally sink into silence then the life will really be pathetic.",但是如果连这个我们都不敢，我们只会在那里哭，我们只会这悲伤，我们只会手足无措，然后沉默，沉默，那么，生命就真的很可悲了。
That is all.,说完了。
Thank you.,谢谢大家。
Good evening everyone.,大家晚上好。
May I ask you something about Shanghai Star Harbor?,我想问一个问题，上海有个星星港？
Do you have any idea about it?,大家是否了解？
What kind of organization is it and what's it for?,它是一个什么样的组织，它到底做些什么？
I guess many of you have no clue.,我想我们在座的，也许很多人说不清楚。
Nothing can be more devastating than parents grieve over the death of their offspring.,我们说，人生最大的悲哀就是白发人送黑发人。
"In Shanghai, the number of families with the loss of a child is growing increasingly due to various reasons.",上海由于各种原因，现在丧子家庭的数字是越来越多了。
"Diseases, car accidents or other accidents kill nearly twenty of children and young people on a daily basis, leaving more than 7,000 bereaved families annually.",上海每天有将近20位年轻人和孩子因为生病、车祸和意外离世而去，上海每年将要新增加7000多户的丧子家庭。
The loss of a child is devastating for the whole family for it makes parents suffer excruciating pain and endure years of loneliness.,孩子的一旦离去，他将带给整个家庭是一个毁灭性的打击，他将留给父母的不仅仅是心灵上的巨大痛苦。
"What's more, it arouses panic and sorrow in parents without accompany of children at old age.",而且，还要让他们长期地忍受孤独和晚年没有子女的那种精神上的恐慌和忧伤。
"To help the inconsolable families, Shanghai Star Harbor, a self-help organization, was voluntarily established in 2003 by our ten bereaved families.",在03年，上海星星港就是由我们十户丧子家庭的爸爸妈妈他们自发组织的这么一个自救的组织。
"The original purpose of the organization was to share the grief, gain peer support and find the ways to overcome the agony of the unimaginable loss.",当时的初衷是为了能够彼此之间的相互帮助和慰藉，能够摆脱丧子的痛苦。
As one member of the organization.,我也是这个组织的其中一员。
I still miss my son in heaven who has left me for more than 10 years.,我的儿子，他离开我们已经整整十年之多。
"The moment he comes to my mind, I always have tears stream down my face on public transport or cry out loud at home.",有的时候，我乘在车上，突然想起孩子，瞬间我就会泪流满面；有的时候，我在家里想起了他我就会失声痛哭。
I believe it's beyond the comprehension of normal families.,应该说，正常的家庭它是无法理解和体会的。
"In our organization, the death of sons or daughters robs many parents of all the hopes and brings them endless sorrow.",在我们星星港里，有好多的失去孩子的爸爸妈妈，当孩子走了，带走的是他们的全部希望，留下的是无穷无尽的悲伤。
